0,1,-77.996420,0.000000
0,2,-77.996545,-0.000003
0,3,-77.997348,0.000000
0,4,-77.996480,0.000000
0,5,-77.996525,-0.000000
0,6,-77.996539,0.000000
0,9,-77.996436,-0.000001
0,10,-77.996431,-0.000000
0,11,-77.996446,-0.000006
0,12,-77.996421,-0.000000
0,13,-77.996453,-0.000005
0,14,-77.996739,-0.000004
0,15,-77.996687,-0.000001
0,16,-77.996456,-0.000000
0,17,-77.998615,-0.000011
0,18,-77.996518,-0.000004
0,19,-78.005149,-0.000026
0,20,-77.996470,-0.000016
0,21,-77.996528,-0.000045
0,22,-77.996442,-0.000009
0,23,-77.996441,-0.000013
0,24,-77.996531,-0.000050
0,25,-77.996424,-0.000000
0,26,-77.996637,-0.000000
0,27,-77.996465,-0.000000
0,28,-77.996863,-0.000000
0,29,-77.996419,-0.000000
0,30,-77.996420,-0.000000
0,31,-77.996444,-0.000000
0,32,-77.996623,-0.000000
0,33,-77.996448,-0.000008
0,34,-77.996423,-0.000000
0,35,-77.996700,-0.000000
0,36,-77.996514,-0.000000
0,37,-77.996557,-0.000000
0,38,-77.996457,-0.000009
0,39,-77.996427,-0.000006
0,40,-77.996424,-0.000000
0,41,-77.996490,-0.000000
0,42,-77.996557,-0.000000
0,43,-77.996433,-0.000009
0,44,-77.996434,-0.000013
0,45,-77.996446,-0.000017
0,46,-77.996432,-0.000008
0,47,-77.996422,-0.000001
1,2,-77.996542,0.000000
1,3,-77.997353,-0.000005
1,4,-77.996480,0.000000
1,5,-77.996525,0.000000
1,6,-77.996539,0.000000
1,9,-77.996439,-0.000004
1,10,-77.996432,-0.000000
1,11,-77.996441,-0.000001
1,12,-77.996421,-0.000000
1,13,-77.996449,-0.000001
1,14,-77.996740,-0.000005
1,15,-77.996688,-0.000001
1,16,-77.996456,-0.000000
1,17,-77.998615,-0.000010
1,18,-77.996514,-0.000000
1,19,-78.005151,-0.000028
1,20,-77.996477,-0.000023
1,21,-77.996514,-0.000031
1,22,-77.996442,-0.000009
