0,-234.909279,-0.000000
1,-234.909279,-0.000000
2,-234.909280,-0.000000
3,-234.909281,-0.000001
4,-234.909279,-0.000000
5,-234.909279,-0.000000
6,-234.909279,-0.000000
7,-234.909280,-0.000000
8,-234.909284,-0.000005
9,-234.909279,-0.000000
10,-234.909279,-0.000000
11,-234.909292,-0.000013
12,-234.909292,-0.000013
13,-234.909290,-0.000011
16,-234.909280,-0.000001
17,-234.909280,-0.000001
18,-234.909316,-0.000036
19,-234.909359,-0.000080
20,-234.909360,-0.000080
21,-234.909293,-0.000014
22,-234.909316,-0.000037
23,-234.909316,-0.000037
24,-234.911235,-0.001956
25,-234.909318,-0.000039
26,-234.909349,-0.000069
27,-234.909279,-0.000000
28,-234.909279,-0.000000
29,-234.909305,-0.000026
30,-234.918901,-0.009622
31,-234.909325,-0.000046
32,-234.909325,-0.000046
33,-234.909286,-0.000007
34,-234.909293,-0.000013
35,-234.909282,-0.000003
36,-234.909279,-0.000000
37,-234.909279,-0.000000
38,-234.909280,-0.000000
39,-234.909279,-0.000000
40,-234.909279,-0.000000
41,-234.909279,-0.000000
42,-234.909279,-0.000000
43,-234.909279,-0.000000
44,-234.909279,-0.000000
45,-234.909279,-0.000000
46,-234.909279,-0.000000
47,-234.909279,-0.000000
48,-234.909280,-0.000001
49,-234.909280,-0.000000
