2,-108.943105,-0.000315
3,-108.946727,-0.003937
4,-108.944143,-0.001352
5,-108.966096,-0.023305
8,-108.966121,-0.023330
9,-108.942832,-0.000041
10,-108.942824,-0.000034
11,-108.943858,-0.001068
12,-108.942920,-0.000129
13,-108.943105,-0.000315
14,-108.944242,-0.001452
15,-108.944719,-0.001928
16,-108.943007,-0.000216
17,-108.942853,-0.000062
18,-108.943800,-0.001009
19,-108.943799,-0.001009
20,-108.943598,-0.000808
21,-108.942806,-0.000015
22,-108.942954,-0.000164
23,-108.942954,-0.000164
24,-108.943011,-0.000220
25,-108.942849,-0.000058
26,-108.942823,-0.000032
27,-108.942815,-0.000025
28,-108.943220,-0.000430
29,-108.942799,-0.000008
30,-108.942840,-0.000049
31,-108.943137,-0.000346
32,-108.942799,-0.000008
33,-108.942882,-0.000091
34,-108.942882,-0.000091
35,-108.942800,-0.000010
36,-108.943019,-0.000229
37,-108.942800,-0.000009
38,-108.942881,-0.000090
39,-108.942881,-0.000090
40,-108.942816,-0.000025
41,-108.942936,-0.000145
42,-108.942858,-0.000068
43,-108.942902,-0.000112
44,-108.942902,-0.000112
45,-108.942806,-0.000015
46,-108.942901,-0.000110
47,-108.942901,-0.000110
48,-108.942862,-0.000072
49,-108.942796,-0.000006
