2,3,-108.157341,-0.000002
2,4,-108.239220,-0.002756
2,5,-108.256211,-0.002739
2,8,-108.258168,-0.004786
2,9,-108.238033,-0.004792
2,10,-108.157551,-0.000212
2,11,-108.165377,-0.000282
2,12,-108.157477,-0.000118
2,13,-108.165316,-0.000282
2,14,-108.157456,-0.000113
2,15,-108.157698,-0.000359
2,16,-108.157880,-0.000541
2,17,-108.157631,-0.000292
2,18,-108.158014,-0.000675
2,19,-108.157450,-0.000110
2,20,-108.157483,-0.000111
2,21,-108.157450,-0.000111
2,22,-108.160993,-0.003654
2,23,-108.162044,-0.004705
2,24,-108.157449,-0.000109
2,25,-108.157471,-0.000108
2,26,-108.157447,-0.000108
2,27,-108.158738,-0.001399
2,28,-108.157375,-0.000036
2,29,-108.157467,-0.000037
2,30,-108.157565,-0.000041
2,31,-108.157454,-0.000036
2,32,-108.157574,-0.000040
2,33,-108.157371,-0.000032
2,34,-108.157376,-0.000037
2,35,-108.157376,-0.000037
2,36,-108.157409,-0.000037
2,37,-108.157380,-0.000037
2,38,-108.157376,-0.000037
2,39,-108.157399,-0.000037
2,40,-108.157376,-0.000037
2,41,-108.157376,-0.000037
2,42,-108.157376,-0.000037
2,43,-108.157376,-0.000037
2,44,-108.157395,-0.000037
2,45,-108.157418,-0.000037
2,46,-108.157414,-0.000037
2,47,-108.157399,-0.000037
2,48,-108.157685,-0.000346
2,49,-108.157411,-0.000072
3,4,-108.238985,-0.002521
3,5,-108.256122,-0.002650
3,8,-108.258214,-0.004833
3,9,-108.238064,-0.004822
3,10,-108.157553,-0.000214
3,11,-108.165392,-0.000297
3,12,-108.157478,-0.000119
3,13,-108.165316,-0.000282
3,14,-108.157459,-0.000116
3,15,-108.157698,-0.000359
3,16,-108.157972,-0.000632
3,17,-108.157602,-0.000263
3,18,-108.158261,-0.000922
3,19,-108.157447,-0.000108
3,20,-108.157482,-0.000110
3,21,-108.157449,-0.000110
3,22,-108.162517,-0.005178
3,23,-108.160685,-0.003346
3,24,-108.157451,-0.000112
3,25,-108.157475,-0.000112
3,26,-108.157449,-0.000110
3,27,-108.158352,-0.001013
3,28,-108.157374,-0.000035
3,29,-108.157467,-0.000037
3,30,-108.157564,-0.000040
3,31,-108.157455,-0.000037
3,32,-108.157576,-0.000041
3,33,-108.157373,-0.000033
3,34,-108.157377,-0.000037
3,35,-108.157376,-0.000037
3,36,-108.157409,-0.000037
3,37,-108.157380,-0.000037
3,38,-108.157376,-0.000037
3,39,-108.157399,-0.000037
3,40,-108.157376,-0.000037
3,41,-108.157376,-0.000037
3,42,-108.157376,-0.000037
3,43,-108.157376,-0.000037
3,44,-108.157395,-0.000037
3,45,-108.157418,-0.000037
3,46,-108.157414,-0.000037
3,47,-108.157400,-0.000037
3,48,-108.157818,-0.000479
3,49,-108.157412,-0.000073
4,5,-108.291303,0.041294
4,8,-108.490510,-0.158004
4,9,-108.424672,-0.112306
4,10,-108.236585,-0.000121
4,11,-108.244741,-0.000521
4,12,-108.236516,-0.000032
4,13,-108.244754,-0.000596
4,14,-108.236500,-0.000033
4,15,-108.236689,-0.000225
4,16,-108.236681,-0.000217
4,17,-108.236659,-0.000195
4,18,-108.236521,-0.000057
4,19,-108.236475,-0.000011
4,20,-108.237255,-0.000758
4,21,-108.237253,-0.000789
4,22,-108.237474,-0.001010
4,23,-108.237316,-0.000852
4,24,-108.237252,-0.000788
4,25,-108.237311,-0.000823
4,26,-108.236475,-0.000011
4,27,-108.236563,-0.000099
4,28,-108.236477,-0.000013
4,29,-108.236811,-0.000256
4,30,-108.237288,-0.000639
