0,-195.134062,-0.000009
1,-195.134063,-0.000010
2,-195.134053,-0.000000
3,-195.134053,-0.000000
4,-195.134053,-0.000000
5,-195.134087,-0.000034
6,-195.134235,-0.000182
7,-195.134086,-0.000033
8,-195.134173,-0.000120
9,-195.134371,-0.000318
10,-195.134081,-0.000028
11,-195.134085,-0.000032
12,-195.134153,-0.000100
13,-195.134141,-0.000088
14,-195.134112,-0.000059
15,-195.134067,-0.000014
16,-195.134060,-0.000007
17,-195.134115,-0.000062
18,-195.134082,-0.000029
21,-195.134056,-0.000003
22,-195.134055,-0.000002
23,-195.134059,-0.000006
24,-195.134068,-0.000015
25,-195.134060,-0.000007
26,-195.134056,-0.000003
27,-195.134058,-0.000005
28,-195.134064,-0.000011
29,-195.134057,-0.000004
30,-195.134055,-0.000002
31,-195.134060,-0.000006
32,-195.134136,-0.000083
33,-195.134074,-0.000021
34,-195.134062,-0.000009
35,-195.134187,-0.000134
36,-195.134070,-0.000017
37,-195.134105,-0.000052
38,-195.134060,-0.000007
39,-195.134593,-0.000540
40,-195.134362,-0.000309
41,-195.134668,-0.000615
42,-195.134184,-0.000131
43,-195.134294,-0.000241
44,-195.134283,-0.000230
45,-195.134254,-0.000201
46,-195.134076,-0.000023
47,-195.134058,-0.000005
48,-195.134063,-0.000010
49,-195.134111,-0.000058
50,-195.134073,-0.000020
51,-195.134059,-0.000006
52,-195.134057,-0.000004
53,-195.134125,-0.000072
54,-195.134074,-0.000021
55,-195.134057,-0.000004
56,-195.134070,-0.000017
57,-195.134112,-0.000059
58,-195.134109,-0.000056
59,-195.134060,-0.000007
60,-195.134122,-0.000069
61,-195.134289,-0.000236
62,-195.134119,-0.000066
63,-195.134157,-0.000104
64,-195.134165,-0.000112
65,-195.134079,-0.000026
66,-195.134075,-0.000022
67,-195.134056,-0.000003
68,-195.134065,-0.000012
69,-195.134065,-0.000012
70,-195.134057,-0.000004
71,-195.134062,-0.000009
72,-195.134099,-0.000046
73,-195.134054,-0.000001
74,-195.134119,-0.000066
75,-195.134127,-0.000074
76,-195.134056,-0.000002
77,-195.134060,-0.000006
78,-195.134157,-0.000104
79,-195.134061,-0.000008
80,-195.134061,-0.000008
81,-195.134062,-0.000009
82,-195.134060,-0.000007
83,-195.134064,-0.000011
84,-195.134063,-0.000010
85,-195.134085,-0.000032
86,-195.134058,-0.000005
87,-195.134064,-0.000011
88,-195.134057,-0.000004
89,-195.134071,-0.000018
90,-195.134058,-0.000005
91,-195.134076,-0.000023
92,-195.134063,-0.000010
93,-195.134061,-0.000008
94,-195.134069,-0.000015
95,-195.134063,-0.000010
96,-195.134059,-0.000006
97,-195.134083,-0.000030
98,-195.134062,-0.000009
99,-195.134056,-0.000003
100,-195.134055,-0.000002
101,-195.134069,-0.000016
102,-195.134054,-0.000001
103,-195.134056,-0.000003
104,-195.134054,-0.000000
105,-195.134055,-0.000002
106,-195.134053,-0.000000
107,-195.134054,-0.000001
108,-195.134055,-0.000002
109,-195.134054,-0.000001
110,-195.134053,-0.000000
111,-195.134053,-0.000000
112,-195.134054,-0.000001
113,-195.134055,-0.000002
114,-195.134054,-0.000001
115,-195.134054,-0.000001
116,-195.134054,-0.000001
117,-195.134055,-0.000002
118,-195.134054,-0.000001
119,-195.134054,-0.000001
