0,1,-112.650677,-0.000000
0,2,-112.651001,-0.000004
0,3,-112.652372,-0.000002
0,4,-112.661156,0.000001
0,5,-112.650747,0.000000
0,8,-112.655142,-0.000002
0,9,-112.651260,-0.000001
0,10,-112.654722,-0.000000
0,11,-112.651834,-0.000000
0,12,-112.650938,-0.000000
0,13,-112.650840,-0.000005
0,14,-112.651761,-0.000034
0,15,-112.650744,-0.000068
0,16,-112.650717,-0.000048
0,17,-112.650773,-0.000072
0,18,-112.650882,-0.000000
0,19,-112.650893,-0.000000
0,20,-112.651563,-0.000000
0,21,-112.654298,-0.000002
0,22,-112.651303,-0.000029
0,23,-112.650664,-0.000000
0,24,-112.650665,-0.000000
0,25,-112.650721,-0.000000
0,26,-112.650838,-0.000002
0,27,-112.650703,-0.000003
1,2,-112.651011,-0.000002
1,3,-112.652387,-0.000005
1,4,-112.661167,0.000002
1,5,-112.650759,0.000000
1,8,-112.655167,-0.000014
1,9,-112.651272,-0.000000
1,10,-112.654810,-0.000075
1,11,-112.651997,-0.000151
1,12,-112.651024,-0.000073
1,13,-112.650903,-0.000056
1,14,-112.651757,-0.000017
1,15,-112.650689,-0.000001
1,16,-112.650681,-0.000000
1,17,-112.650714,-0.000000
1,18,-112.650896,-0.000002
1,19,-112.650908,-0.000002
1,20,-112.651578,-0.000003
1,21,-112.654334,-0.000026
1,22,-112.651289,-0.000003
1,23,-112.650676,-0.000000
1,24,-112.650677,-0.000000
1,25,-112.650734,-0.000000
1,26,-112.650853,-0.000005
1,27,-112.650745,-0.000032
2,3,-112.652692,0.000011
2,4,-112.661327,0.000161
2,5,-112.651062,0.000017
2,8,-112.655807,-0.000335
2,9,-112.651710,-0.000118
2,10,-112.655129,-0.000075
2,11,-112.652390,-0.000224
2,12,-112.651346,-0.000075
2,13,-112.651966,-0.000799
2,14,-112.652725,-0.000666
2,15,-112.651471,-0.000463
2,16,-112.651212,-0.000212
2,17,-112.651831,-0.000797
2,18,-112.651330,-0.000116
2,19,-112.651343,-0.000117
2,20,-112.652258,-0.000363
2,21,-112.655225,-0.000596
2,22,-112.652117,-0.000511
2,23,-112.651329,-0.000332
2,24,-112.651329,-0.000332
2,25,-112.651288,-0.000235
2,26,-112.651555,-0.000387
2,27,-112.651372,-0.000339
3,4,-112.662638,0.000223
3,5,-112.652435,0.000017
3,8,-112.658506,-0.001661
3,9,-112.653006,-0.000041
3,10,-112.657110,-0.000683
3,11,-112.654475,-0.000937
3,12,-112.652794,-0.000151
3,13,-112.654145,-0.001606
3,14,-112.659147,-0.005715
3,15,-112.652604,-0.000223
3,16,-112.652506,-0.000132
3,17,-112.652767,-0.000361
3,18,-112.652736,-0.000149
3,19,-112.652752,-0.000153
3,20,-112.653607,-0.000339
3,21,-112.657817,-0.001816
3,22,-112.653182,-0.000203
3,23,-112.652503,-0.000134
3,24,-112.652505,-0.000136
3,25,-112.653125,-0.000699
3,26,-112.653731,-0.001191
3,27,-112.653444,-0.001039
4,5,-112.661198,0.000040
4,8,-112.665868,-0.000237
4,9,-112.663560,-0.001810
4,10,-112.665674,-0.000460
4,11,-112.664938,-0.002613
4,12,-112.661439,-0.000009
4,13,-112.662164,-0.000838
4,14,-112.665910,-0.003692
4,15,-112.671549,-0.010382
4,16,-112.661208,-0.000048
4,17,-112.661779,-0.000587
4,18,-112.661604,-0.000231
4,19,-112.662795,-0.001411
4,20,-112.662073,-0.000019
4,21,-112.666318,-0.001530
4,22,-112.662201,-0.000436
4,23,-112.662077,-0.000922
4,24,-112.662093,-0.000937
4,25,-112.661226,-0.000014
4,26,-112.661767,-0.000440
4,27,-112.661274,-0.000083
5,8,-112.665868,-0.010646
5,9,-112.651444,-0.000103
5,10,-112.654817,-0.000012
5,11,-112.651938,-0.000022
5,12,-112.651860,-0.000839
5,13,-112.651164,-0.000248
5,14,-112.651937,-0.000128
5,15,-112.650864,-0.000106
5,16,-112.654972,-0.004222
5,17,-112.651035,-0.000252
5,18,-112.652236,-0.001272
5,19,-112.651247,-0.000271
5,20,-112.652358,-0.000714
5,21,-112.654406,-0.000028
5,22,-112.651407,-0.000051
5,23,-112.651806,-0.001060
5,24,-112.651792,-0.001045
5,25,-112.651304,-0.000501
5,26,-112.650933,-0.000015
5,27,-112.650851,-0.000069
8,9,-112.655693,0.000041
8,10,-112.658989,0.000209
8,11,-112.656253,0.000056
8,12,-112.656250,-0.000837
8,13,-112.655296,0.000013
8,14,-112.656154,0.000048
8,15,-112.655150,0.000001
8,16,-112.655150,-0.000006
8,17,-112.655172,0.000004
8,18,-112.655304,0.000053
8,19,-112.655304,0.000064
8,20,-112.658692,-0.002655
8,21,-112.658696,0.000075
8,22,-112.655721,0.000028
8,23,-112.655138,0.000001
8,24,-112.655138,0.000001
8,25,-112.655308,-0.000112
8,26,-112.655308,0.000002
8,27,-112.655172,0.000003
9,10,-112.655411,-0.000095
9,11,-112.652435,-0.000007
9,12,-112.651520,0.000013
9,13,-112.651587,-0.000159
9,14,-112.653401,-0.001080
9,15,-112.651269,0.000001
9,16,-112.651262,0.000001
9,17,-112.651369,-0.000074
9,18,-112.651475,0.000001
9,19,-112.651487,0.000000
9,20,-112.652150,0.000007
9,21,-112.654882,0.000008
9,22,-112.652266,-0.000398
9,23,-112.651258,0.000000
9,24,-112.651259,-0.000000
9,25,-112.651315,0.000001
9,26,-112.651429,0.000001
9,27,-112.651294,0.000000
10,11,-112.655798,0.000093
10,12,-112.654930,0.000066
10,13,-112.655742,-0.000851
10,14,-112.656141,-0.000356
10,15,-112.654733,-0.000000
10,16,-112.654725,0.000001
10,17,-112.654765,-0.000007
10,18,-112.654928,0.000011
10,19,-112.654939,0.000012
10,20,-112.655591,0.000029
10,21,-112.658256,0.000097
10,22,-112.655320,0.000011
10,23,-112.654721,0.000000
10,24,-112.654722,0.000000
10,25,-112.654777,0.000002
10,26,-112.654891,0.000001
10,27,-112.654763,-0.000006
11,12,-112.652095,0.000012
11,13,-112.651993,0.000010
11,14,-112.652867,0.000029
11,15,-112.651854,-0.000010
11,16,-112.651837,0.000000
11,17,-112.651869,0.000001
11,18,-112.652022,0.000028
11,19,-112.652043,0.000019
11,20,-112.652721,0.000010
11,21,-112.655901,-0.000436
11,22,-112.652429,0.000013
11,23,-112.651832,0.000000
11,24,-112.651834,-0.000000
11,25,-112.651889,0.000001
11,26,-112.652052,-0.000048
11,27,-112.651868,0.000001
12,13,-112.651104,0.000003
12,14,-112.651994,0.000007
12,15,-112.650949,0.000000
12,16,-112.650954,-0.000012
12,17,-112.650974,0.000001
12,18,-112.651149,0.000006
12,19,-112.651160,0.000007
12,20,-112.652156,-0.000320
12,21,-112.654565,0.000004
12,22,-112.651544,0.000003
12,23,-112.650937,0.000000
12,24,-112.650938,0.000000
12,25,-112.651031,-0.000036
12,26,-112.651109,-0.000000
12,27,-112.650973,0.000000
13,14,-112.652344,-0.000448
13,15,-112.650845,0.000000
13,16,-112.650837,0.000000
13,17,-112.650876,-0.000006
13,18,-112.651051,0.000001
13,19,-112.651062,0.000000
13,20,-112.651728,0.000004
13,21,-112.654466,-0.000000
13,22,-112.651481,-0.000038
13,23,-112.650833,0.000000
13,24,-112.650834,-0.000000
13,25,-112.650890,0.000001
13,26,-112.651005,-0.000000
13,27,-112.650868,0.000002
14,15,-112.651737,0.000001
14,16,-112.651729,0.000001
14,17,-112.651933,-0.000170
14,18,-112.651940,0.000004
14,19,-112.651952,0.000003
14,20,-112.652610,0.000014
14,21,-112.655352,0.000005
14,22,-112.652727,-0.000391
14,23,-112.651726,0.000000
14,24,-112.651727,-0.000000
14,25,-112.651779,0.000004
14,26,-112.651896,0.000001
14,27,-112.651758,0.000004
15,16,-112.650679,0.000000
15,17,-112.650711,0.000000
15,18,-112.650892,0.000000
15,19,-112.650904,0.000000
15,20,-112.651573,0.000000
15,21,-112.654327,-0.000020
15,22,-112.651284,0.000001
15,23,-112.650674,0.000000
15,24,-112.650675,0.000000
15,25,-112.650732,0.000000
15,26,-112.650847,-0.000001
15,27,-112.650711,0.000000
16,17,-112.650704,0.000000
16,18,-112.650885,0.000000
16,19,-112.650897,0.000000
16,20,-112.651574,-0.000008
16,21,-112.654300,-0.000000
16,22,-112.651277,0.000000
16,23,-112.650667,0.000000
16,24,-112.650668,0.000000
16,25,-112.650727,-0.000002
16,26,-112.650839,0.000000
16,27,-112.650704,0.000000
17,18,-112.650917,0.000000
17,19,-112.650929,0.000000
17,20,-112.651598,0.000001
17,21,-112.654332,-0.000000
17,22,-112.651366,-0.000057
17,23,-112.650700,0.000000
17,24,-112.650701,0.000000
17,25,-112.650757,0.000000
17,26,-112.650871,0.000000
17,27,-112.650744,-0.000008
18,19,-112.651108,0.000002
18,20,-112.651773,0.000006
18,21,-112.654497,0.000015
18,22,-112.651487,0.000003
18,23,-112.650909,-0.000028
18,24,-112.650881,0.000000
18,25,-112.650938,0.000000
18,26,-112.651053,-0.000000
18,27,-112.650917,0.000000
19,20,-112.651783,0.000008
19,21,-112.654523,0.000001
19,22,-112.651500,0.000002
19,23,-112.650892,0.000000
19,24,-112.650922,-0.000029
19,25,-112.650949,0.000001
19,26,-112.651065,-0.000001
19,27,-112.650929,0.000000
20,21,-112.655173,0.000021
20,22,-112.652164,0.000007
20,23,-112.651561,0.000000
20,24,-112.651562,0.000000
20,25,-112.651775,-0.000156
20,26,-112.651731,0.000002
20,27,-112.651597,0.000001
21,22,-112.654890,0.000014
21,23,-112.654295,-0.000000
21,24,-112.654297,-0.000002
21,25,-112.654351,0.000001
21,26,-112.654649,-0.000183
21,27,-112.654331,-0.000000
22,23,-112.651272,0.000000
22,24,-112.651273,0.000000
22,25,-112.651329,0.000001
22,26,-112.651444,-0.000000
22,27,-112.651356,-0.000047
23,24,-112.650664,0.000000
23,25,-112.650720,0.000000
23,26,-112.650834,0.000000
23,27,-112.650699,0.000000
24,25,-112.650721,0.000000
24,26,-112.650835,0.000000
24,27,-112.650700,-0.000000
25,26,-112.650891,0.000000
25,27,-112.650756,0.000000
26,27,-112.650870,0.000000
