0,-112.650663,-0.000002
1,-112.650676,-0.000014
2,-112.650996,-0.000334
3,-112.652368,-0.001707
4,-112.661155,-0.010493
5,-112.650745,-0.000084
8,-112.655138,-0.004477
9,-112.651258,-0.000596
10,-112.654721,-0.004059
11,-112.651832,-0.001170
12,-112.650937,-0.000275
13,-112.650833,-0.000171
14,-112.651725,-0.001064
15,-112.650674,-0.000012
16,-112.650667,-0.000005
17,-112.650699,-0.000038
18,-112.650880,-0.000218
19,-112.650892,-0.000230
20,-112.651561,-0.000899
21,-112.654294,-0.003633
22,-112.651272,-0.000610
23,-112.650662,-0.000001
24,-112.650663,-0.000001
25,-112.650720,-0.000058
26,-112.650834,-0.000172
27,-112.650698,-0.000037
